"PAIS","COD_SKU","FAMILY","MODEL_NAME","BRAND","TIER","STATUS"
PA,"2399",BMOBILE ORION A1 4GB+64GB,BMOBILE ORION A1 4GB+64GB,BMOBILE,,ACTIVE
PA,"2413",SAMSUNG S26 ULTRA 12GB+512GB,SAMSUNG S26 ULTRA 12GB+512GB,SAMSUNG,,ACTIVE
PA,"2408",SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG,,ACTIVE
PA,"2410",SAMSUNG S26 ULTRA 12GB+512GB,SAMSUNG S26 ULTRA 12GB+512GB,SAMSUNG,,ACTIVE
PA,"2418",OPPO A6X 4GB+128GB,OPPO A6X 4GB+128GB,OPPO,,ACTIVE
PA,"2405",SAMSUNG S26 12GB+256GB,SAMSUNG S26 12GB+256GB,SAMSUNG,,ACTIVE
PA,"2407",SAMSUNG S26 12GB+256GB,SAMSUNG S26 12GB+256GB,SAMSUNG,,ACTIVE
PA,"2403",HONOR MAGIC 8 PRO 5G 12GB+512GB,HONOR MAGIC 8 PRO 5G 12GB+512GB,HONOR,,ACTIVE
PA,"251",SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG,,ACTIVE
PA,"2417",OPPO A6X 4GB+128GB,OPPO A6X 4GB+128GB,OPPO,,ACTIVE
PA,"2415",SAMSUNG A17 5G 8GB+256GB,SAMSUNG A17 5G 8GB+256GB,SAMSUNG,,ACTIVE
PA,"250",SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG S26 PLUS 12GB+512GB,SAMSUNG,,ACTIVE
